Index,Name,Level,Type,Center Latitude,Center Longitude,Extent NS (miles),Extent EW (miles),Notes,Parent,IsPageScraped?,URL
0,The World,0,Celestial body,0,0,12430,24860,"<br><br><h2>Mountains of the World</h2><p>There are a staggering variety of mountains on the planet Earth, and any quick summary is likely to be almost useless.  However, one interesting way to look at world's ranges is that most of them form a semi-continuous chain similar to the seam on a baseball, winding around across continents and oceans.    <p>Starting at the Atlas Mountains of North Africa, this large mountainous area encompasses the mountains of Spain, the Pyrenees, the Alps, the Carpathians, and then the Balkan Ranges before crossing into Asia as the mountains of Turkey, the Caucasus, the Zagros, and the Elburz.  Moving out of Iran, the master chain becomes the great central Asian complex that includes the Karakoram, Hindu Kush, and Himalaya.  Mountainous terrain then continues northeastwards across China and Siberia to the Bering Strait, where the Aleutian and Alaska Ranges then merge into the great cordilleras of western North America, such as the Rockies, Coast Mountains, Cascade Range, and Sierra Nevada.  The spine of high mountains running south through Mexico and Central America is well-known, as are the great uninterrupted wall of the Andes.  The mountains then cross to Antarctica as the ranges of the Antarctic Peninsula and the Transantarctic Mountains, ending at the north coast of Victoria Land.  <p>From this huge but indistinct master chain there are two huge offshoots to the south: one starting in the eastern Mediterranean and following the great Rift Valley and Ethiopian Highlands to the Drakensberg of South Africa; the other originiaing at the east end of the Himalaya and winding down through Southeast Asia, Indonesia, and the Great Dividing Range of Australia.  <p>This extremely over-simplified scheme of great range systems is kind of silly, but it does includes major mountain systems on all continents and emphasizes the global continutity of the mountains and the tectonic plate boundaries that often form them.  <h2>Mountain Heights on Earth</h2><p>There are only 14 peaks over 8000 meters high, all in the Himalaya or Karakoram Ranges of Asia.  In addition, all 7000 meter peaks in the world are located in those ranges and others in the great Central Asian complex--the Pamir, Tien Shan, Hindu Kush, Kunlun, and other ranges.  Outside of this area, 6000 meter peaks of the world are found only in the Andes (including Aconcagua at 6960 meters) and at Denali in Alaska.  Lowering the bar to 5000 meters, we find peaks in the Caucasus area, Elburz range of Iran, St. Elias Range, Central Mexico, East Africa, and New Guinea, plus countless lower peaks in the higher ranges.</p><br><table width=""95%"" align=""center"">      </table>",The Solar System,Yes,http://peakbagger.com/range.aspx?rid=0
1,North America,1,Continent,40.7,-111.8666667,18144,16664,"<br><br><p>North America has an incredibly wide variety of mountains, including ice-covered giants worthy of the Himalaya, huge ranges of craggy rock pinnacles, gentle, rolling, forest-covered hills, and exotic volcanoes on small tropical islands.  Among the continents, only Asia has more mountains, mountain ranges, and variety of peaks.</p><p>The bulk of North America's mountains lie in a massive ""cordilleran system"" of nearly continuous ranges that run down the western edge of the continent, from Alaska to Panama.  Here are the world-class mountaineering destinations of the Alaksa and Saint Elias ranges, plus many other ranges it would take more than a lifetime to thoroughly explore: the Brooks Range, The Coast Ranges, the Rockies, the Cascade Range, the Sierra Nevada, the Sierra Madre ranges of Mexico, and the long volcanic chain of Central America.  In the entire world, perhaps only the Central Asia complex of the Himalaya/Karakoram/Tien Shan/Pamir/Tibet/Central China has more pure mountain volume.  <p>Outside of the western Cordilleras, North America still boasts the icy crags of the Arctic islands, the sprawling forested ridges of the Appalachians, and the emerald ranges and volcanoes of the Caribbean.  <p>Although there is a huge expanse of relatively flat land stretching from the Arctic to the Gulf of Mexico, across the Canadian Shield and Great Plains, the majority of North America remains an excellent place for lovers of mountains.<br><table width=""95%"" align=""center"">  </table>",The World,Yes,http://peakbagger.com/range.aspx?rid=1
2,South America,1,Continent,-23.56666667,-63.4,8419,3808,"<br><p>South America is in the middle of the continents ranked by area--smaller than Asia, Africa, and North America, but bigger than Antarctica,  Europe, and Australia/Oceania.  However, for a relatively small landmass, South America presents an embarassment of geographical riches: the biggest river in the world, the largest rainforest, the driest desert, and, dominating its western edge, the longest single mountain range in the world: the Andes.  <p>For the most part, the Andes are synonomous with mountains in South America.  Stretching from northeastern Venzuela to the Strait of Magellan, the 4,000 mile arc of the Andes is up there with the Himalaya/Central Asia complex and the western North American cordilleran system as one of the dominant mountain groupings of the world.</p><p>Argentina's <a href=""peak.aspx?pid=8594"">Aconcagua</a> (22,835'/6960m) is famous as the highest peak in the western hemisphere, but Andean peaks rise to over 20,000'/6100m in Chile, Bolivia, Peru, and Ecuador as well, and Colombia (18865'/5750m) and Venzuela (16427'/5007m) are not far behind.  Make no mistake, these are big, glaciated, and serious mountains for almost their entire length. </p><p>Two broad highland areas in eastern South America are insignificant mountaineering-wise when compared to the Andes, but they do cover large areas of the continent.  The Guiana Highlands of Brazil, Venzuela, and Guyana are famous as the site of Angel Falls, the world's highest waterfall.  They are also a mysterious, inaccesible, jungle-shrouded wilderness of cliff-sided plateaus that have inspired imaginary words from the time of Raleigh's El Dorado, through Conan Doyle's Lost World, to the present.  <a href=""peak.aspx?pid=8700"">Pico da Neblina</a> (9888'/3014m) is the highest in the Guiana Highlands, but <a href=""peak.aspx?pid=8684"">Roraima</a> (9219'/2810m), looking like a ship's prow splitting the jungle, is perhaps the most famous peak.    <p>The Brazilian Highlands, centered on the state of Minas Gerias, rise to 9144'/2787m at <a href=""peak.aspx?pid=8754"">Bandeira, but they are more noted for their mineral wealth than for any real mountainous terrain.</a></p><table width=""95%"" align=""center"">      </table>",The World,Yes,http://peakbagger.com/range.aspx?rid=2
3,Europe,1,Continent,61.98333333,27.01666667,7346,5947,"<br><p>Europe, as geographers have long noted, is not really a continent.  The most cynical view is that it is merely a peninsula of Asia, only promoted to continent status becasue people from there happened to have conquered most of the world at one time or another.</p><p>However, this convention is very useful when it comes to dividing up the world.  The Eurasian landmass is so huge and dwarfs all the other continents so much that chopping it up helps equalize things a little bit.  This is especially true when it comes to dividing up the mountain ranges of the world--Asia by itself has enough mountains to overwhelm the Peagbagger.com range scheme, and anything that can be offloaded to Europe keeps the continents more in balance.</p><p>Therefore, the definition of Europe used here includes the entire ranges of the Urals and the Caucasus, since using them in their traditional role as dividing lines makes little sense in the context of range classification.  Also included, of course, are all ranges west of the Urals: the Alps, Pyrennes, Carpathians, Scandinavian Mountains, and many other important highlands.</p><p>For such a relatively small continent, Europe actually has more than its fair share of awesome alpine terrain.  The Alps are the quintessential European range, dominating the heart of the continent and rising to rugged, ice-clad slopes directly from densely-populated plains, but the Caucasus are actually higher and even more scenically spectacular.  <p>Even after the Alps and Cacausus, Europe still holds many other impressive ranges, from the unexplored icecaps of Svalbard to the rocky cliffs of Greece, and from the forested ridges of the Urals to the glaciers of the Pyrenees.  Except for extreme elevation and massive Central Asia-style blocs of ranges, Europe can match any continent in the variety and challenge of its peaks.</p><table width=""95%"" align=""center"">      </table>",The World,Yes,http://peakbagger.com/range.aspx?rid=3
4,Asia,1,Continent,33.13333333,66.58333333,2218,4150,"<br><p>Sure, Asia is the largest continent, so it makes sense that it has more mountains than any other.  But even given its size, Asia still has way more impressive ranges and peaks that you would expect, a veritable embarassment of mountain richness.  <p>You start, of course, with the vast Central Asian complex of mountains, the only place on earth where peaks rise greater than 7000 m/23,000'.  In fact, there are so many an accurate count is not yet possible, and no one really knows the true world height rank of Aconcagua, highest peak outside Asia.  The famous Himalaya is just one of the many ranges in this huge chunk of lofty real estate, and the Karakoram, Pamir, Tien Shan, Hiudu Kush, Kunlun, and hosts of other ranges all cover an area of well over 2 million square miles, almost the size of the contiguous United States.  <p>Even outside of the Central Asian complex, Asia presents a staggering variety of ranges.  Along the Pacific Rim, high volcanoes dominate the landscape, from the icy slopes of Kamchatka's 4800m/15,000' <a href=""peak.aspx?pid=10682"">Kluchevskaya</a> to the numerous high, verdant cones of Indonesia.  Iran and Turkey are thoroughly mountainous countries with scores of 4000m and 5000m peaks that are almost unknown.  The Indian Subcontinent and the Arabian Peninsula are not known for their high peaks, but both have significant areas of relatively high mountains.  Even the huge expanse of Siberia, with its wide, flat basins, has a lifetime's worth of decent mountain ranges hidden in its vastness.  <p>I think it is difficult for most Europeans and North Americans to grasp just how big Asia is and how many mountains it contains.  We grow very comfortable with the well-mapped confines of the Alps and the Rockies, totally unaware of the sheer scale and sheer number of virtually unknown and unexplored ranges that sprawl across Siberia, China, and Central Asia.  To fully grasp the mountains of Asia requires us to increase our geographic concepts an entire order of magnitude.  Even the veteran of a climb or trek in the Himalaya, well-impressed with the massive snowy peaks, may have no concerete idea of the fantasitic extent and varienty of summits the sprawl for a thousand miles behind Nepal.  <p>The Peakbagger.com Mountain Range Classification Scheme allows only ten subranges per parent range, due to the way the range numbering system works.  This limitation was rarely a problem as I divided up the world into its logical range components.  North America needed all 10 subranges to work, but most other continents divided nicely into 9 or fewer Range2s.  For Asia, though, I was forced to artificially divide it into 2 pseudo-continents, and even then I needed all 20 slots for sub ranges.  Indeed, I think that the ideal and correct number of Range2s in Asia might be between 21 and 25.  Every Range2 I created was usually the full equal of Range2s like the Rockies or Alps.  <p>So, enjoy exploring Asia--in every sense of the word, the heart of the world's mountains.  <table width=""95%"" align=""center""></table>",The World,Yes,http://peakbagger.com/range.aspx?rid=4
6,Africa,1,Continent,0.716666667,28.33333333,4887,7496,"<br><p>Africa, after Asia the second largest continent, has surprisingly few major mountains and ranges.  The great Sahara Desert, the rainforests of the Congo basin, and the high savannas of Eastern and Southern Africa take up most of Africa's land area, and the continent's equatorial position means very little snow, glaciation, and alpine mountain landscape.  However, there are still mountains in Africa for those willing to search them out, and they offer experiences and adventures not to be found elsewhere.</p><p>Ninety-nine percent of all mountaineering interest in Africa is centered on three massifs rising above the East African savanna: Tanzania's <a href=""peak.aspx?pid=11202"">Kilimanjaro</a> (5895m/19,341'), highest point on the continent; <a href=""peak.aspx?pid=11193"">Mount Kenya<a> (5199m/17,057'), slighly lower but offering much more mountaineering challenge; and the compact Ruwenzori Range (5109m/16,761') on the Uganda-Zaire border, the legendary Mountains of the Moon, clouded in mystery and drizzly mist.</a></p><p><a>It remains a very sad and disturbing fact that most of Africa lags far behind the rest of the world economically and politically, often making travel a test of one's tolerance for opressive heat, guerrila warfare, political instability, poverty, corruption, and disease.  Those willing to brave these obstacles will find friendly and indomitable people, unspoiled landscapes, and several intersting isolated mountains and ranges scattered about Africa.    </a><p><a>The Atlas Mountains of Morocco and Algeria rise to 13,665'/4165m at <a href=""peak.aspx?pid=11046"">Jebel Toubkal</a>, and they offer some interesting scambling and, in winter, even some skiing.  Two high massifs rise up from the parched exapnse of the central Sahara: Algeria's Hoggar massif, rising to  9563'/2908m and featuring lots of vertical rock climbing; and Chad's Tibesti, high enough at 11,204'/3415m to even catch some occasional snow in the central Sahara.</p><p>Ethiopia is an extremely mountainous country, most of it an exapansive high plateau with deep canyons, rising gently to <a href=""peak.aspx?pid=1117"">Ras Dashen</a> (4620m/15,157'), the highest mountain in Africa outside of the three famous massifs.  The Virunga Range, on the border between war-torn Rwanda and the anarchic Congo, is most famous as home of the highland gorillas, but offers climbing on volcanoes that rise to 4507m/14,787' at <a href=""peak.aspx?pid=11172"">Karisimbi.</a></p><p>West Africa offers little in the way of mountains outside of the massive, dominant cone of <a href=""peak.aspx?pid=11099"">Mount Cameroon</a> (4100m/13,451'), right on the Gulf of Guinea in its namesake country.  Southern Africa has lots of rugged canyon and escarpment scenery, but nothing you could call a real mountian.  The Drakensburg Mountains top out at <a href=""peak.aspx?pid=11261"">Thabana Ntlenyana</a> (3482m/11,423') in Lesotho, but the summits in the area are just tablelands with big cliffs to the south.</p><p>When dividing up the world for the Peakbagger.com Mountain Range Classification System, the islands in the mid-Atlantic and mid-Indian ocean were all arbitrarily placed with Africa.  This convention gives to Africa several important peaks, such as the high volcanic summits of the Azores, Canary Islands, Cape Verde Islands, and Reunion.<table width=""95%"" align=""center"">              </table>",The World,Yes,http://peakbagger.com/range.aspx?rid=6
7,Australia-Oceania,1,Continent,-24.91666667,133.4,13965,4791,"<br><p>The ""continent"" of Australia/Oceania is a somewhat artifical construct, designed to link together the continental landmass of Australia with the huge number of widely scattered islands across the Pacific Ocean.  By convention, this continent includes New Guinea, Tasmania, New Zealand, Hawaii, and the countless islands of Melanesia, Micronesia, and Polynesia.  <p>The continent of Australia is such a relatively low and flat place it's really kind of ridiculous.  Although the Great Dividing Range has some interesting escarpment areas such as the Blue Mountains area, and there is some nice mountain scenery here and there, the bulk of the continent is simply just not mountainous at all.  The highest point on the Australian landmass is puny <a href=""peak.aspx?pid=11624"">Mt. Kosciusko</a> (7310'/2228m), a peak with a road to the top.  Many tiny islands in nearby Indonesia have higher peaks.  <p>However, the continent of Australia/Oceania still holds a respectable amount of serious mountains due to the contributions from the ""Oceania"" part in its name.  In particular, New Zealand and New Guinea both hold world-class mountain ranges: <a href=""peak.aspx?pid=11360"">Puncak Jaya</a> (5030 m/16,500') on New Guinea is the highest summit in this quadrant of the world, and the Southern Alps of New Zealand are a craggy, snowy range that challenges the best climbers in the world.  <p>Many other islands of Oceania hold mountains that are either higher or more intersting that those of mainland Australia; highlights include the ranges of Tasmania, Tahiti, Fiji, the Solomon Islands, and the massive shield vocanoes of Hawaii.<table width=""95%"" align=""center""></table>",The World,Yes,http://peakbagger.com/range.aspx?rid=7
8,Antarctica,1,Continent,-74.96666667,-0.066666667,8248,-12516,"<br><p>If you count ice as solid ground, Antarctica has the highest average elevation of any continent.  If you don't, then it's the lowest, since the weight of the two-mile thick icecap has depressed the underlying rock to below sea level.  Most of the interior of the continent is a vast, high, flat plateau of ice, much of it over 9000'/2500m high, but without enough relief to be called mountainous.  <a href=""peak.aspx?pid=12364"">Dome Argus</a>, the summit of the gargantuan East Antarctic Ice Cap, is, at 4030m/13,222', perhaps the highest point of non-mountainous terrain in the world.</p><p>There are, however, several significantly mountainous areas in Antarctica.  The Trans-Antarctic Mountians, in some ways an extention of the Andes after their temporary submergence under the Drake Passage, stretch for 2,000 miles clear across the continent, reaching their highest point in <a href=""peak.aspx?pid=12244"">Mount Kirkpatrick</a> (4528m/14,856') in the Queen Alexandra sub-range.  The early south pole explorers--Shackleton, Amundsen, and Scott--had to force a passage through these intimidating peaks on their way south in the early 20th century.</p><p>The highest point in all Antarctica is <a href=""peak.aspx?pid=12108"">Vinson Massif</a> (5140m/16,864'), one of the high peaks of West Antarctica's Sentinel Range.  Other significant summits that are virtually unknown are scattered about the continent, many of them of a stature that would make them famous if they were located anywhere else.</p><table width=""95%"" align=""center"">      </table>",The World,Yes,http://peakbagger.com/range.aspx?rid=8
10,Alaska-Yukon Ranges,2,Bogus mountain grouping for this site,63.06666667,-144.6666667,1390,11911,"<br><p>The Alaska-Yukon Ranges are a bogus grab-bag of a range, created to hold together the disparate and spectacular ranges of the far northwestern reaches of North America.  The individual ranges of the area--the Alaska Range, the St. Elias Mountains, the Mackenzie Mountains, the Aleutain Range, and others--all seemed too small in extent to stand alone as Range2s, so they were combined into this artifical grouping.  <p>The Alaska-Yukon Ranges have a obvious eastern border in the great Mackenzie River, and a less distinct southeastern border that very roughly follows the Liard River and the Yukon-B.C. border to White Pass and Skagway. This vast area includes all of Alaska outside the Southeast panhandle, virtually all of the Yukon Territory, and adjacent areas of the Northwest Territories.  It even extents west to the Commander Islands, outliers of the Aleutians that are politically part of Russia.  <p>The Alaska-Yukon Ranges are right up there with the Himalaya-Central Asia mountain complex and the Andes of South America as one of the three premier mountain areas on earth.  The altitude, the terrain, the glaciers, and the variety of the peaks here are simply astounding, and the nothern latitude adds a dimension of cold and winter darkness that no other high mountains on the planet can match.  Reaching a significant summit anywhere here is a major mountaineering undertaking made hazardous by extreme cold, daunting glaciers, and a high degree of remoteness from civilization.</p><p>Since this area is a grab-bag, there is little more to be said about the Alaska-Yukon ranges a whole.  Descriptions of individual sub-ranges provide more information about these awesome mountains.    <p>A brief summary of some of the principal ranges:  <p><a href=""range.aspx?rid=102"">The Alaska Range</a>, featuring <a href=""peak.aspx?pid=271"">Denali</a> and a strong supporting cast of high, difficult, and remote peaks, arcs its way across south-central Alaska.</p><p><a href=""range.aspx?rid=105"">The Saint Elias Mountains</a> straddle the Alaska-Yukon boundary as the highest coastal mountains in the world.  <a href=""peak.aspx?pid=541"">Mount Logan</a> (19,541'/5956 m) is only slightly lower than Denali, and the other high peaks include those of the Fairweather subrange into northwest British Columbia.</p><p><a href=""range.aspx?rid=1042"">The Wrangell Mountains</a>, between the Alaska and Saint Elias ranges, rise to 16,390 feet at <a href=""peak.aspx?pid=437"">Mount Blackburn</a>.  By world standards they are impressive in almost any context, but, between two higher and more famouns mountain masses, they tend to be overlooked.</p><p><a href=""range.aspx?rid=100"">The Brooks Range</a> is a low (to only 9,000') but alluringly remote range in barren northern Alaska, above the Arctic Circle.</p><p><a href=""range.aspx?rid=1041"">The Chugach Mountains</a> are a wet and snowy wilderness along the southern edge of Alaska.  <a href=""peak.aspx?pid=443"">Mount Marcus Baker</a> at 13,176' is the high point.</p><table width=""95%"" align=""center"">              </table>",North America,Yes,http://peakbagger.com/range.aspx?rid=10
11,North America Arctic Islands,2,Archipelago,71.8,-42.18333333,1647,2487,"<br><p>The largest archipelago in the world in land area does not have a name.  Composed of Greenland and the adjacent Canadian Arctic islands, this vast area is a largely barren expanse of tundra, icecap, and peaks surrounded by an endless maze of often-frozen waterways.  Not one tree grows in the 3.4 million square kilometers of land that supports a mere 100,000 people.  In contrast, the Malay-Indonesian archipelago from New Guinea to Suamtra (second largest in the world) overflows with over 200 million people in its 2.9 million square kilometers.</p><p>The bounaries of the North American Arctic Islands Range2 are clear--it includes Greenland and all islands north of the Canadian mainland and Hudson Bay.  Also included are the Boothia and Melville peninsulas, surrounded by islands and connected to the mainland by narrow ithmuses.</p><p>There are plenty of substantial mountains on these islands.  Greenland is a small version of Antarctica, a giant, high icecap with rugged fiords and high peaks on its edges.  The western Canadian Arctic Islands (for example, Banks, Victoria, and Melville) are very low and flat, but the eastern edge of this group rises to high, impressive cliffs and summits that border Baffin Bay on Baffin, Bylot, Devon, and Ellesmere Islands.</p><table width=""95%"" align=""center"">      </table>",North America,Yes,http://peakbagger.com/range.aspx?rid=11
