Name,OtherName,Elevation,Latitude,Longitude
Kuna Peak,,13002,37.812906,-119.208275
Petit Griffon,,13040,37.391407,-118.788394
Mount Madonna,,1897,37.012239,-121.704982
Mount Johnson,,3465,36.610947,-121.314714
Mount Defiance,,2657,36.467003,-121.172532
North Chalone Peak,,3304,36.447637,-121.195678
South Chalone Peak,,3269,36.436847,-121.185864
Miller Mountain,,4341,36.319057,-121.645681
Junipero Serra Peak,,5862,36.145661,-121.419117
Cone Peak,,5155,36.052042,-121.496345
Williams Hill,,2780,35.951745,-121.001837
Silver Peak,,3590,35.847925,-121.358994
Pine Mountain,,3594,35.690148,-121.094601
Palo Escrito Peak,,4467,36.405236,-121.491968
Discovery Peak,Valpe Ridge-Rose Flat,3840,37.5121,-121.699374
Boardman North,Alsan Peak,3626,37.489685,-121.469336
Mount Boardman,,3618,37.481178,-121.471868
Eylar Mountain,,4089,37.477676,-121.556072
Mount Hamilton,,4213,37.341697,-121.64312
Copernicus Peak,,4360,37.34675,-121.63008
Mount Stakes,,3804,37.32253,-121.408568
Crevison Peak,,2103,37.191014,-121.189092
Mariposa Peak,,3448,36.957135,-121.211573
Laveaga Peak,,3801,36.890467,-121.17758
Potrero Peak,,3742,36.856579,-121.150079
Ortigalita Peak,,3304,36.794498,-120.923246
Sugarloaf,,2840,36.709717,-121.118213
Ciervo Mountain,,3391,36.473486,-120.579929
Pine Mountain,,3814,36.454448,-120.919309
San Carlos Peak,,4845,36.391414,-120.656932
San Benito Mountain,,5241,36.36967,-120.644609
Hepsedam Peak,,4487,36.314683,-120.824705
Black Mountain,,3640,36.30468,-120.403338
Smith Mountain,,3947,36.078951,-120.595969
Castle Mountain,,4343,35.939043,-120.340382
Table Mountain,King Benchmark,3473,35.906,-120.275967
Orchard Peak,,3125,35.738196,-120.133848
Lopez Mountain,,2868,35.301392,-120.578535
Machesna Mountain,,4063,35.278717,-120.230968
Hi Mountain,,3198,35.259932,-120.425281
Garcia Mountain,,3171,35.248652,-120.30964
Saddle Peak,,1819,35.222312,-120.793077
Pine Ridge,,3200,35.208233,-120.28091
Caliente Mountain,,5106,35.036309,-119.760252
Freeborn Mountain,,3312,35.285271,-120.054174
Timber Peak,,4764,35.014384,-120.013307
Tepusquet Peak,,3253,34.910118,-120.186637
Peak Mountain,,5843,34.90209,-119.858722
McPherson Peak,,5749,34.888614,-119.813274
Fox Mountain,,5167,34.813618,-119.60008
Samon Peak,,6227,34.734853,-119.646072
San Rafael Mountain,,6593,34.710922,-119.814015
McKinley Mountain,,6200,34.702399,-119.845413
Big Pine Mountain,,6800,34.697288,-119.654347
Big Pine Mountain-West Peak,,6490,34.695654,-119.677373
Madulce Peak,,6536,34.690957,-119.591151
Santa Cruz Peak,,5570,34.66917,-119.811809
Tranquillon Mountain,,2159,34.582795,-120.561371
Santa Ynez Peak,,4298,34.526966,-119.978554
Divide Peak,,4707,34.47685,-119.444461
Eagle Rest Peak,,6005,34.907428,-119.133857
Brush Mountain,,7048,34.884932,-119.224965
Antimony Peak,,6848,34.877077,-119.112268
San Emigdio Mountain,,7492,34.873269,-119.178899
Tecuya Mountain,,7160,34.842489,-118.981718
Cerro Noroeste,,8280,34.830964,-119.203515
Grouse Mountain,,8582,34.814868,-119.183088
Sawmill Mountain,,8818,34.813361,-119.167286
Mount Pinos,,8831,34.812831,-119.145413
Frazier Mountain,,8000,34.775012,-118.969141
Cuyama Peak,,5880,34.754082,-119.475786
Lizard Head,,5320,34.69911,-119.479853
Hildreth Peak,,5065,34.600229,-119.551812
Ortega Hill,,5317,34.573804,-119.355258
Ortega Peak,,5854,34.566458,-119.332464
Monte Arido-East Slope,,5800,34.53876,-119.462796
Monte Arido,,6010,34.539345,-119.466778
Old Man Mountain,,5538,34.516964,-119.453297
Lockwood Peak,Lockwood Point,6261,34.709578,-119.069877
San Guillermo Mountain,,6606,34.695391,-119.147894
Reyes Peak,,7514,34.630915,-119.281622
Haddock Mountain,,7431,34.623509,-119.240723
Thorn Point,,6920,34.606425,-119.127655
Chief Peak,,5560,34.510498,-119.167995
Alamo Mountain,,7367,34.667725,-118.961154
Black Mountain,,6202,34.654217,-118.861747
Snowy Peak,,6532,34.649411,-118.888798
Sewart Mountain,,6841,34.640643,-118.907067
McDonald Peak,,6870,34.633429,-118.940549
White Mountain,,6250,34.631297,-118.847935
San Rafael Peak,,6640,34.623888,-119.00185
Cobblestone Mountain,,6733,34.608939,-118.867849
Hines Peak,,6716,34.510785,-119.075593
Oat Mountain,,3747,34.329849,-118.601031
Liebre Mountain,,5760,34.716612,-118.664737
Burnt Peak,,5788,34.68292,-118.576855
Sawtooth Mountain,,5200,34.660794,-118.552318
Old Mount Emma,,5063,34.476073,-118.052612
Mount Emma,,5273,34.460596,-118.069142
Cole Point,,5604,34.421672,-118.072064
Bare Mountain,,6388,34.398256,-117.991848
Pleasant View Ridge,UTM 165055,7983,34.390009,-117.90935
Pallett Mountain,,7760,34.385761,-117.885936
Will Thrall Peak,,7845,34.384496,-117.902622
Pacifico Mountain,,7124,34.381937,-118.034524
Mount Gleason,,6520,34.376513,-118.177494
Granite Mountain,,6600,34.37139,-118.07111
